name,category,manufacturer,supplier,unit,pack_size,hsn_code,gst_rate,batch_no,purchase_price,sale_price,mrp_price,quantity,reorder_level,expiry_date
OFLAB 200 MG 10 TAB,,,,,,3004,12,,43.1,,56,0,,
SYNABRON EXP 100 ML,,,,,,3004,12,,34.64,,45,0,,
ACNELAK 4IN 1 100ML,,,,,,3004,18,,267.8,,395,0,,
FLUZIN 1 10,,,,,,29309040,12,,28.74,,40.24,0,,
"GERIVIT FORT CAPSUL 10,S",,,,,,3004,12,,174.57,,330,0,,
MERITAL 5 TAB 10S,,,,,,3004,12,,46.82,,65.52,0,,
MERITAL H TAB 10S,,,,,,3004,12,,38.94,,54.52,0,,
NORVAL H TAB 10S,,,,,,3004,12,,52.05,,72.85,0,,
NORVAL TAB 10'S,,,,,,3004,12,,55.01,,77,0,,
"NORVALETTE 10,S",,,,,,3003,12,,25.28,,35.39,0,,
VIVAX 10 MG.TAB 10S,,,,,,3004,12,,19.11,,26.76,0,,
VIVAX-5 TAB 10'S,,,,,,3004,12,,35.21,,49.28,0,,
"AMBISTRYB-C-0,75 1VIAL",,,,,,3004,12,,8.08,,10.6,0,,
AMOXYCLAV 625MG 10TAB,,,,,,29309040,12,,74.36,,204.94,0,,
"ANTOXIPAN/ABBOTT 15,S",,,,,,30040,18,,315.53,,466,0,,
ARACHITOL NANO 5ML,,,,,,3004,12,,169.23,,236.92,0,,
ASCABIOL 120ML 120ML,,,,,,29309040,12,,124.54,,174.36,0,,
BETONIN JR.SYP 100ML,,,,,,3004,12,,43.93,,61.5,0,,
BRUFEN 200 15S,,,,,,3004,12,,4.24,,5.94,0,,
BRUFEN 400 15S,,,,,,3004,12,,14.39,,20.14,0,,
BRUFEN 600 MG 15S,,,,,,3004,12,,30.27,,42.38,0,,
"CAAT 20 MG 15,S",,,,,,3004,12,,150.69,,210.96,0,,
CEROM 250MG 10S,,,,,,3004,12,,223.09,,312.33,0,,
"CEROM 500 10,S",,,,,,3004,12,,411.44,,576.01,0,,
CILADUO 10MG 10S,,,,,,3004,12,,59.93,,83.9,0,,
CLARIBID 250MG 10S,,,,,,3004,12,,191.11,,267.56,0,,
CLARIBID DS 250MG 30ML,,,,,,29309040,12,,178.56,,249.98,0,,
